名稱,高度,等,TWD97緯度,TWD97經度,所在地
七星山,"1,119.72 ",Ⅰ,25.17069939 ,121.55344417 ,北投
大古山,151.02 ,Ⅰ,25.10252683 ,121.29153239 ,林口 蘆竹
燦光寮山,738.29 ,Ⅰ,25.09299983 ,121.86560675 ,雙溪
獅仔頭山,857.72 ,Ⅰ,24.90471011 ,121.49116794 ,新店 三峽
老窩山,355.56 ,Ⅰ,24.88018761 ,121.12208100 ,楊梅 湖口
烘爐地山,"1,166.55 ",Ⅰ,24.83458122 ,121.69639875 ,烏來 礁溪
李棟山,"1,914.46 ",Ⅰ,24.69265842 ,121.30363236 ,復興 尖石
巴博庫魯山,"2,101.42 ",Ⅰ,24.67373317 ,121.47977425 ,烏來 復興 宜蘭大同
公司寮,113.57 ,Ⅰ,24.60126514 ,120.76444950 ,後龍
加里山,"2,220.18 ",Ⅰ,24.51079536 ,121.01242692 ,南庄 泰安
馬那邦山,"1,407.45 ",Ⅰ,24.36724036 ,120.91379478 ,大湖 泰安
龜山島,401.33 ,Ⅰ,24.84176061 ,121.95329853 ,龜山島
二結,0.00 ,Ⅰ,24.71418858 ,121.77455294 ,宜蘭 五結
錦草,2.30 ,Ⅰ,24.70733697 ,121.81563872 ,五結
宏國,2.99 ,Ⅰ,24.68555558 ,121.80666011 ,五結
東澳嶺,820.68 ,Ⅰ,24.53790675 ,121.84988919 ,蘇澳 南澳
蘭崁山,"1,476.54 ",Ⅰ,24.53760083 ,121.76068328 ,南澳
三星山,"2,351.89 ",Ⅰ,24.50922122 ,121.56394058 ,南澳 宜蘭大同
飯包山,"1,856.96 ",Ⅰ,24.39093008 ,121.69134933 ,南澳
鐵砧山,235.74 ,Ⅰ,24.35633972 ,120.65511664 ,大甲 外埔
南湖大山,"3,741.60 ",Ⅰ,24.36181086 ,121.43937397 ,和平 秀林
白姑大山,"3,341.51 ",Ⅰ,24.20268569 ,121.10896833 ,和平 南投仁愛
王田山,229.96 ,Ⅰ,24.13813069 ,120.58445600 ,南屯 烏日 大肚
頭拒山,"1,126.99 ",Ⅰ,24.12925669 ,120.85879761 ,新社
守城大山,"2,420.24 ",Ⅰ,24.04583128 ,121.05040828 ,南投仁愛
公田溝,438.72 ,Ⅰ,23.98859875 ,120.95777528 ,埔里
埔里,442.59 ,Ⅰ,23.96628836 ,120.96530911 ,埔里
樟普寮,424.43 ,Ⅰ,23.92755428 ,120.63478297 ,社頭 南投
安東軍山,"3,068.04 ",Ⅰ,23.87270153 ,121.26612958 ,南投仁愛 萬榮
貓兒干,19.58 ,Ⅰ,23.79737186 ,120.30933008 ,崙背
治茆山,"2,909.06 ",Ⅰ,23.74465278 ,120.98111739 ,南投信義
蔡厝莊,13.49 ,Ⅰ,23.60013436 ,120.21601253 ,四湖 水林
